System params: f_X=1.01, f_Y=2, A_X=1, A_Y=0.5, phi=0, dt=0.01, N=1000

t	X	Y	Z
0.0	1.0	0.0	1.0
0.01001001001	0.997983048448	0.12545803018	1.12344107863
0.02002002002	0.991940329981	0.248933554467	1.24087388445
0.03003003003	0.981896220337	0.36847539481	1.35037161515
0.04004004004	0.967891236484	0.482194533802	1.45008577029
0.0500500500501	0.949981873168	0.588293965201	1.53827583837
0.0600600600601	0.928240375026	0.685097090484	1.61333746551
0.0700700700701	0.902754445154	0.771074212699	1.67382865785
0.0800800800801	0.873626891325	0.844866708956	1.71849360028
0.0900900900901	0.840975211267	0.905308499583	1.74628371085
0.1001001001	0.804931118695	0.951444474683	1.75637559338
0.11011011011	0.765640011986	0.982545586923	1.74818559891
0.12012012012	0.723260387656	0.998120372038	1.72138075969
0.13013013013	0.677963201003	0.997922715028	1.67588591603
0.14014014014	0.629931176491	0.981955739298	1.61188691579
0.15015015015	0.57935807065	0.9504717573	1.52982982795
0.16016016016	0.526447890491	0.903968283462	1.43041617395
0.17017017017	0.471414070552	0.843180172386	1.31459424294
0.18018018018	0.414478611932	0.769068006574	1.18354661851
0.19019019019	0.355871186752	0.682802917163	1.03867410392
0.2002002002	0.295828211688	0.585748077542	0.881576289229
0.21021021021	0.234591894282	0.479437162289	0.714029056571
0.22022022022	0.172409255906	0.365550111825	0.537959367732
0.23023023023	0.109531135298	0.245886585754	0.355417721052
0.24024024024	0.0462111767033	0.122337524378	0.168548701082
0.25025025025	-0.0172951933006	-0.00314473220774	-0.0204399255083
0.26026026026	-0.0807317961706	-0.128577295282	-0.209309091452
0.27027027027	-0.143842734797	-0.251978061385	-0.395820796183
0.28028028028	-0.20637342577	-0.371397033808	-0.577770459578
0.29029029029	-0.26807162634	-0.484947136717	-0.753018763057
0.3003003003	-0.328688451945	-0.590834035006	-0.919522486951
0.31031031031	-0.387979380183	-0.687384488629	-1.07536386881
0.32032032032	-0.445705237195	-0.773072793389	-1.21877803058
0.33033033033	-0.501633162468	-0.84654489033	-1.3481780528
0.34034034034	-0.555537548171	-0.906639762777	-1.46217731095
0.35035035035	-0.607200949233	-0.952407782884	-1.55960873212
0.36036036036	-0.656414960503	-0.983125717796	-1.6395406783
0.37037037037	-0.702981057426	-0.998308158271	-1.7012892157
0.38038038038	-0.74671139688	-0.997715189196	-1.74442658608
0.39039039039	-0.787429574912	-0.981356180754	-1.76878575567
0.4004004004	-0.824971338339	-0.949489640355	-1.77446097869
